"Laboratoire de Cristallographie et Cristallogénèse des Protéines, Département d'Ingéniérie et d'Etudes des Protéines, DSV, CENG, Grenoble, France.",45.1959977,5.7081307
"Division of Biomedical Sciences, Lawrence Livermore National Laboratory, University of California, Livermore 94550.",37.6891168,-121.7170384
"Department of Macro Molecular Sciences, SmithKline Beecham Pharmaceuticals, King of Prussia, Pennsylvania 19406.",40.0755442,-75.3339499
"Clayton Foundation Biochemical Institute, Department of Chemistry and Biochemistry, University of Texas, Austin 78712.",30.2849185,-97.7340567
"Department of Chemistry, University of Copenhagen, H.C. Orsted Institute, Denmark.",55.6802303,12.5724096
"Chemical Center, University of Lund, Sweden.",55.7119483,13.203493
"Department of Structural Research, Max-Planck-Institut für Biochemie, Martinsried bei München, Germany.",48.10503,11.4595788
"Department of Biochemistry and Molecular Biophysics, Columbia University, New York, New York 10032.",40.84281259999999,-73.9427438
"Macromolecular Structure Laboratory, NCl-Frederick Cancer Research Facility, MD 21702.",39.43668,-77.43477399999999
"CSIRO, Division of Biomolecular Engineering, Parkville, Victoria, Australia.",-37.788,144.951
"Département d'Immunologie, Institut Pasteur, Paris, France.",48.8403549,2.3112783
"Physical Biochemistry Section, Beckman Research Institute of the City of Hope, Duarte, California 91010.",34.1411576,-117.9911486
"Institut für Molekularbiologie und Biophysik, Eidgenössische Technische Hochschule, Zürich, Switzerland.",47.376313,8.547669899999999
"Center for Macromolecular Crystallography, School of Medicine, University of Alabama, Birmingham 35294.",33.5021227,-86.8064447
"Department of Physical Chemistry, Osaka University of Pharmaceutical Sciences, Japan.",34.863792,135.574562
"Osaka University of Pharmaceutical Sciences, Japan.",34.863792,135.574562
"Instituut voor Moleculaire Biologie, Vrije Universiteit Brussel, Belgium.",50.821658,4.394886
"Department of Chemistry, Michigan State University, East Lansing 48824-1322.",42.724855,-84.4756553
"Department of Molecular Physiology, Tokyo Metropolitan Institute of Medical Science, Japan.",35.6398361,139.7249049
"Laboratoire pour l'Utilisation du Rayonnement Electromagnetique, Centre Universitaire Paris Sud, Orsay, France.",48.6976847,2.1764839
